ts	phase	decision	why	evidence	result
2026-08-24T12:24:55Z	frame	treated the migration as high-rigor work	the cutover moves durable deduplication state and production scheduling	GitHub issue #68	definition of done and rollback gate recorded
2026-08-24T12:24:55Z	architecture	selected Workflow plus one Bun Container and D1 as the design to test first	it preserves the working Bun pipeline while Cloudflare owns run status and durable ledger state	Dockerfile; src/index.ts; src/services/jobLedger.ts; https://developers.cloudflare.com/containers/platform-details/workers-connections/	open until the runtime probe passes
2026-08-24T12:24:55Z	architecture	rejected a direct Worker rewrite as the first path	it requires the largest rewrite before workload and dependency limits are known	src/index.ts; src/services/jobLedger.ts; https://developers.cloudflare.com/workers/platform/limits/	kept as a fallback if measurements support it
2026-08-24T12:24:55Z	probe	deferred the remote Container probe	this workspace has no Docker and the current token cannot list Containers	`docker --version`; `bunx wrangler containers list`	blocked; D1 access works
2026-08-24T12:24:55Z	unit-1	started with an asynchronous ledger contract	D1 is asynchronous, and this change can preserve current SQLite behavior before Cloudflare code is added	src/services/jobLedger.ts	in progress
2026-08-24T12:29:32Z	unit-1	completed the asynchronous ledger contract	all SQLite behavior and callers now use the same Promise-based interface that D1 will implement	src/services/jobLedger.ts; 206 Bun tests; Biome; tsc	green
2026-08-24T12:37:43Z	unit-2	preserved the existing OpenAI lockfile resolutions	adding Wrangler had deduplicated a runtime dependency and that drift did not belong in this unit	bun.lock; `bun install --frozen-lockfile`	frozen install green
2026-08-24T12:37:43Z	unit-2	gave the isolated Wrangler proof a 15-second test budget	two concurrent proofs crossed Bun's five-second default even though each completed alone in under four seconds	src/services/__tests__/d1JobLedgerMigration.test.ts	concurrent timeout removed
2026-08-24T12:37:43Z	unit-2	proved the ledger schema and required semantics in local D1	the migration ran twice and the real D1 engine matched every ledger predicate	migrations/0001_job_ledger.sql; 207 Bun tests; Biome; tsc	green
2026-08-24T12:43:59Z	unit-3	separated the job-finder operation from the Bun process boundary	Containers and local CLI can now invoke one typed operation without process control leaking into the pipeline	src/jobFinder.ts; src/index.ts; 207 Bun tests; local D1 proof; Biome; tsc	green
2026-08-24T12:49:18Z	audit	kept Workflow plus Container as a hypothesis rather than a final selection	real workload and Container interruption measurements still decide the compute shape	rows 3-5; GitHub issue #68	open
2026-08-24T12:49:18Z	audit	narrowed the Container blocker to the observed facts	the API returned 403 and this workspace lacks Docker, but the exact account or token cause is not proven	/root/.config/.wrangler/logs/wrangler-2026-08-24_12-24-47_702.log	blocked
2026-08-24T12:49:18Z	unit-3	removed duplicate fatal logging from preflight failure	the process boundary now logs and reports the detailed schema error once	src/preflight.ts; src/__tests__/preflight.test.ts; 209 Bun tests	green
2026-08-24T13:07:12Z	audit	narrowed the D1 proof to local workerd behavior	local Wrangler does not prove the remote D1 service even though it exercises the same SQL predicates	src/services/__tests__/d1JobLedgerMigration.test.ts	remote D1 remains open
2026-08-24T13:07:12Z	storage	kept per-row Notion backfill on the SQLite bootstrap path	production D1 migration will import the verified SQLite SQL dump instead of replaying Notion rows through the ledger interface	scripts/backfill-job-ledger.ts; https://developers.cloudflare.com/d1/best-practices/import-export-data/	D1 import verification remains open
2026-08-24T13:07:12Z	unit-3	made identity normalization locale-independent	Bun and workerd must derive the same company and title keys regardless of host locale	src/services/jobLedger.ts	green
2026-08-24T13:07:12Z	unit-2	added a schema drift check	the SQLite runtime schema and checked-in D1 migration must change together	src/services/__tests__/jobLedger.test.ts	green
2026-08-24T13:07:12Z	unit-3	covered CLI run-mode selection	the new process boundary now proves default scrape and explicit reconcile modes	src/__tests__/jobFinder.test.ts	green
2026-08-24T13:13:06Z	review	made the D1 migration the canonical ledger schema	one schema now initializes both local SQLite and future D1 databases	migrations/0001_job_ledger.sql; src/services/jobLedger.ts	green
2026-08-24T13:13:06Z	review	removed the unused run summary	no current caller consumed it and a Container process cannot return it directly	src/jobFinder.ts	green
2026-08-24T13:13:06Z	review	stored the sanitized Container access failure in the repository	the earlier sandbox-local Wrangler log was not available to reviewers	.audit/68-cloudflare-containers-403.txt	supersedes the evidence in the 2026-08-24T12:49:18Z audit row
2026-08-24T13:20:47Z	review	shared one locale-independent ledger normalizer	Notion backfill verification and stored ledger keys must use identical identity rules	src/services/jobLedgerIdentity.ts; src/services/__tests__/jobLedgerIdentity.test.ts	green
2026-08-24T13:57:04Z	unit-4	separated the ledger contract from its SQLite and D1 adapters	Cloudflare code must not load Bun or filesystem modules while both stores preserve one domain contract	src/services/jobLedger.ts; src/services/sqliteJobLedger.ts; src/services/d1JobLedger.ts	green
2026-08-24T13:57:04Z	unit-4	replaced the SQL-only D1 proof with a workerd adapter contract test	the production adapter now executes behind a real D1 binding and rejects malformed stored outcomes	src/services/__tests__/d1JobLedger.test.ts; 211 Bun tests; Biome; tsc	local workerd green; remote D1 remains open
2026-08-24T14:54:50Z	review	shared persisted-row parsing and positional write tuples	SQLite and D1 now enforce one stored shape and one parameter order	src/services/jobLedgerRows.ts; src/services/jobLedgerRecord.ts; cross-model review on PR #70	green
2026-08-24T17:24:19Z	unit-5	stored terminal outcomes and pending Notion projections atomically	a stopped process must not make a completed ledger row suppress its missing Notion page	migrations/0002_pending_notion_projections.sql; src/pipeline/notionProjection.ts; SQLite and workerd D1 tests	221 Bun tests; Biome; tsc green
2026-08-24T17:24:19Z	unit-5	made Notion page creation non-retrying within one call	a lost success response could create a duplicate before the durable projector checks the URL	src/services/notion/client.ts; src/services/__tests__/notionClient.test.ts	response-loss regression green
2026-08-24T17:24:19Z	review	kept pending projection replay on scrape runs only	reconcile-only must retain its current scope and not create queued pages	src/jobFinder.ts; architecture review	accepted behavior preserved
