ts	phase	decision	why	evidence	result
2026-09-24T17:15:00Z	frame	sequence the architecture program as one verified and merged bead at a time	each change must remain small enough to diagnose and safe enough to land independently	job-finder-rac dependency graph	first work unit job-finder-rac.1.1
2026-09-24T17:20:00Z	baseline	installed the uv version required by the repository before running checks	the sandbox uv 0.9.7 could not parse metadata written for uv 0.10 or newer	pyproject.toml:33	480 unit tests passed with uv 0.12.18
2026-09-24T17:29:15Z	foundation	added a PostgreSQL contract that fails after real claim completion inside the terminal transaction	the test must prove all terminal writes share one connection and one rollback boundary	contracts/test_dagster_orchestration.py	unit lint and type gates passed; PostgreSQL proof pending CI
2026-09-24T17:33:52Z	foundation	merged the terminal rollback contract after the full CI gate passed	package moves now have a real PostgreSQL transaction baseline	PR #206, release v2026.09.24.17	job-finder-rac.1.1 closed
2026-09-24T18:00:51Z	foundation	pinned framework imports, HTTP routes and middleware, and the MCP wire manifest	later module moves need executable checks that fail on contract drift	job_finder/test_package_boundaries.py; job_finder/review/test_app.py; job_finder/test_mcp_server.py	485 unit tests passed; full CI pending
2026-09-24T18:48:47Z	core-domains	split review persistence into queue and feedback owners with neutral connection aliases in database.py	queue lifecycle and append-only feedback have distinct ownership but feedback consequences must remain one transaction	job_finder/review/queue.py; job_finder/review/feedback.py; contracts/test_postgres_authority.py	legacy review postgres and models modules deleted; 485 unit tests passed; PostgreSQL proof pending CI
2026-09-24T20:02:15Z	benchmarks	moved curation and immutable manifest evidence into one deep benchmark owner	manifest identity and projection enqueue share the same authoritative transaction while execution consumes the frozen evidence	job_finder/benchmarks/manifests.py; job_finder/evaluation/manifests.py; job_finder/test_package_boundaries.py	486 unit tests passed; moved SQL and payloads matched origin/main; PostgreSQL proof pending CI
2026-09-24T21:23:27Z	benchmarks	split scoring, execution, comparison, and promotion into explicit benchmark owners	pure evidence derivation stays separate from persisted execution and decision transactions while the provider adapter and activation CAS retain their boundaries	job_finder/benchmarks/scoring.py; job_finder/benchmarks/executions.py; job_finder/benchmarks/comparisons.py; job_finder/benchmarks/promotions.py	486 unit tests passed; schemas, SQL, function bodies, payloads, and protected bytes matched ab78ebb; PostgreSQL proof pending CI
2026-09-24T22:32:01Z	projections	split the durable outbox, Langfuse adapter, rebuild, and live smoke operations into focused projection owners	external telemetry stays write-only while authoritative benchmark transactions retain their original enqueue positions	job_finder/projections/outbox.py; job_finder/projections/langfuse.py; job_finder/projections/rebuild.py; job_finder/projections/smoke.py	491 unit tests passed; SQL, digests, schemas, payload behavior, and protected bytes matched 875a947; PostgreSQL proof pending CI
2026-09-24T23:58:05Z	web-adapters	extracted shared FastHTML construction, security helpers, infrastructure routes, static assets, and document rendering into the web package	HTTP mechanics now have adapter owners while review onboarding policy and feature routes remain with their capabilities	job_finder/web/app.py; job_finder/web/security.py; job_finder/web/shell.py	493 unit tests passed; route names and order, middleware, CSS, HTML, static URLs, and asset bytes matched e1a4503; PostgreSQL proof pending CI
2026-09-25T00:53:06Z	web-adapters	extracted review queue, item, and feedback HTTP behavior into one immutable ReviewWorkbench	one capability owner now contains the review transport and rendering while app.py retains composition and owner policy	job_finder/review/workbench.py; job_finder/review/app.py; job_finder/test_package_boundaries.py	498 unit tests passed; routes, factory signature, normalized HTML, redirects, states, and submissions matched b4fd27a; PostgreSQL proof pending CI
2026-09-25T05:53:26Z	web-adapters	extracted configuration HTTP routes, form transport, and rendering into one configuration capability adapter	configuration service state and PostgreSQL wiring remain framework-free while app.py composes the capability at the original route position	job_finder/review/configuration.py; job_finder/review/configuration_editor.py; job_finder/review/app.py; job_finder/test_package_boundaries.py	500 unit tests passed; factory signature, route names and order, normalized HTML, statuses, redirects, and service commands matched 8124a2e; PostgreSQL proof pending CI
2026-09-25T05:57:21Z	validation	rebased the configuration adapter extraction onto current main before review	current trunk added behavior and contract coverage that the extraction must preserve	origin/main a6334b1; baseline a64c2b6; job_finder test suite	541 unit tests passed; current factory, routes, normalized HTML, statuses, redirects, service calls, and commands matched a64c2b6
2026-09-25T07:30:26Z	domain-model	split acquisition policy and qualification definition lifecycles while retaining one owner-facing Search setup workflow	the current aggregate couples authoring while runtime, promotion, and execution already select acquisition and release targets independently	job-finder-rac.6.1; job_finder/search_configuration.py; job_finder/evaluation/release_targets.py; job_finder/pipeline/state.py	product direction approved; aggregate names, transitions, identity, MCP cutover, provenance, and migration policy recorded in the tracker and CONTEXT.md
2026-09-25T07:49:53Z	domain-model	keep one atomic qualification target composed from independently evidenced component releases	separate active phase pointers would permit combinations no benchmark exercised, while the legacy relevance gate can currently approve uncovered behavior	job-finder-rac.6.2; PR #220 adversarial review; docs/release-coverage-decision.md	three independent reviewers agreed on atomic activation, fixed experiment inputs, verified executor identity, component evidence, and explicit legacy variants
